distance,image_a,image_b,sha256_a,sha256_b,exact_duplicate,dataset_a,dataset_b,subset_a,subset_b,crop_a,crop_b
0,datasets\raw\Banana\AugmentedSet\healthy\151_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\33.jpeg,302559ca8832983a8fcd031dd49be002f31d1d42484f601ca9aaa7290950cea4,faef435772a1194e64d05d134c8d9b3a9e8fd4a3659acf7da2f420a05421e3cc,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\151_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\36.jpeg,302559ca8832983a8fcd031dd49be002f31d1d42484f601ca9aaa7290950cea4,faef435772a1194e64d05d134c8d9b3a9e8fd4a3659acf7da2f420a05421e3cc,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\OriginalSet\healthy\33.jpeg,datasets\raw\Banana\OriginalSet\healthy\36.jpeg,faef435772a1194e64d05d134c8d9b3a9e8fd4a3659acf7da2f420a05421e3cc,faef435772a1194e64d05d134c8d9b3a9e8fd4a3659acf7da2f420a05421e3cc,YES,Banana,Banana,Original,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\136_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\145_aug.jpeg,7e0633684d4b591e373e6329721a4afbb0ee15296d9994b8670acd0950b12f18,7e0633684d4b591e373e6329721a4afbb0ee15296d9994b8670acd0950b12f18,YES,Banana,Banana,Augmented,Augmented,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\154_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\37.jpeg,8c4373fba1c716f7c0fbef08b6ecebf47eda6b652c33cdc4e781591e2e24c395,ee4e68fbef0b8d61a3bf16c3ed480253023ab613cf232a54e90871b98448b49b,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\181_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\269_aug.jpeg,4e3f978451ddca40c9a0063cd57b95a2a0e8e91add92ec5f43b92f13e1d94bac,4e3f978451ddca40c9a0063cd57b95a2a0e8e91add92ec5f43b92f13e1d94bac,YES,Banana,Banana,Augmented,Augmented,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\181_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\42.jpeg,4e3f978451ddca40c9a0063cd57b95a2a0e8e91add92ec5f43b92f13e1d94bac,e57d4d8abc42f9c1d343269cba742d10f0f809bffe56032c2800f97cd2d0cefb,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\181_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\6.jpeg,4e3f978451ddca40c9a0063cd57b95a2a0e8e91add92ec5f43b92f13e1d94bac,e57d4d8abc42f9c1d343269cba742d10f0f809bffe56032c2800f97cd2d0cefb,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\269_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\42.jpeg,4e3f978451ddca40c9a0063cd57b95a2a0e8e91add92ec5f43b92f13e1d94bac,e57d4d8abc42f9c1d343269cba742d10f0f809bffe56032c2800f97cd2d0cefb,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\269_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\6.jpeg,4e3f978451ddca40c9a0063cd57b95a2a0e8e91add92ec5f43b92f13e1d94bac,e57d4d8abc42f9c1d343269cba742d10f0f809bffe56032c2800f97cd2d0cefb,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\OriginalSet\healthy\42.jpeg,datasets\raw\Banana\OriginalSet\healthy\6.jpeg,e57d4d8abc42f9c1d343269cba742d10f0f809bffe56032c2800f97cd2d0cefb,e57d4d8abc42f9c1d343269cba742d10f0f809bffe56032c2800f97cd2d0cefb,YES,Banana,Banana,Original,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\190_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\31_aug.jpeg,f18332daeea86763db988288daad0ae646d527f0879a214f576c783bdb5c9375,f18332daeea86763db988288daad0ae646d527f0879a214f576c783bdb5c9375,YES,Banana,Banana,Augmented,Augmented,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\22_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\13.jpeg,143640ad561dde6e7b704ea35cf8b5493bb7eddcb84bd5abd1fd1c5589310ecc,ee78e221b8c7a9c4f0f69792feb3a242e84cf4aa91afc468b8d1b92bc0c25032,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\22_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\43.jpeg,143640ad561dde6e7b704ea35cf8b5493bb7eddcb84bd5abd1fd1c5589310ecc,ee78e221b8c7a9c4f0f69792feb3a242e84cf4aa91afc468b8d1b92bc0c25032,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\OriginalSet\healthy\13.jpeg,datasets\raw\Banana\OriginalSet\healthy\43.jpeg,ee78e221b8c7a9c4f0f69792feb3a242e84cf4aa91afc468b8d1b92bc0c25032,ee78e221b8c7a9c4f0f69792feb3a242e84cf4aa91afc468b8d1b92bc0c25032,YES,Banana,Banana,Original,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\233_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\53.jpeg,8aacb8b9655de7054f774e2ead750b62dd02c72d456385c92af8fa53b417be74,2e5a8f89069054608a6820edceb17473ec1412a1371cc6b9fcd2b5667b72463c,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\236_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\77_aug.jpeg,89c6a24e87324f3a6fd0e6117f0ea12f705f780f3d679c2eaab013ec294656be,666d25c482fbe7fcffe46598ba96d522da18862d5de71e03abf405db4f24d9c8,NO,Banana,Banana,Augmented,Augmented,Banana,Banana
