distance,image_a,image_b,crop_a,crop_b,dataset_a,dataset_b,review_priority
0,datasets\raw\Banana\OriginalSet\healthy\40.jpeg,datasets\raw\Banana\OriginalSet\healthy\7.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\342_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\75.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\35_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\108.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\35_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\16.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\108.jpeg,datasets\raw\Banana\OriginalSet\healthy\16.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\397_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\47.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\397_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\9.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\47.jpeg,datasets\raw\Banana\OriginalSet\healthy\9.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\81_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\126.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\81_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\24.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\126.jpeg,datasets\raw\Banana\OriginalSet\healthy\24.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\84_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\26.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\84_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\56.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\26.jpeg,datasets\raw\Banana\OriginalSet\healthy\56.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\86_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\90_aug.jpeg,Banana,Banana,augmented,augmented,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\97_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\27.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\97_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\57.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\27.jpeg,datasets\raw\Banana\OriginalSet\healthy\57.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\AugmentedSet\pestalotiopsis\129_aug.jpeg,datasets\raw\Banana\OriginalSet\pestalotiopsis\18.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\pestalotiopsis\164_aug.jpeg,datasets\raw\Banana\OriginalSet\pestalotiopsis\28.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\pestalotiopsis\167_aug.jpeg,datasets\raw\Banana\OriginalSet\pestalotiopsis\29.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\pestalotiopsis\201_aug.jpeg,datasets\raw\Banana\OriginalSet\pestalotiopsis\40.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\pestalotiopsis\217_aug.jpeg,datasets\raw\Banana\OriginalSet\pestalotiopsis\44.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\pestalotiopsis\240_aug.jpeg,datasets\raw\Banana\OriginalSet\pestalotiopsis\51.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\pestalotiopsis\297_aug.jpeg,datasets\raw\Banana\OriginalSet\pestalotiopsis\67.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\pestalotiopsis\363_aug.jpeg,datasets\raw\Banana\OriginalSet\pestalotiopsis\84.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\pestalotiopsis\392_aug.jpeg,datasets\raw\Banana\OriginalSet\pestalotiopsis\95.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\pestalotiopsis\41_aug.jpeg,datasets\raw\Banana\OriginalSet\pestalotiopsis\112.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\pestalotiopsis\43_aug.jpeg,datasets\raw\Banana\OriginalSet\pestalotiopsis\113.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\pestalotiopsis\60_aug.jpeg,datasets\raw\Banana\OriginalSet\pestalotiopsis\118.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\pestalotiopsis\99_aug.jpeg,datasets\raw\Banana\OriginalSet\pestalotiopsis\13.jpeg,Banana,Banana,augmented,original,HIGH
